-1,AlyseGalvin,
-1,AmyMcGrathKY,
-1,AntoinePierce,
-1,BarbaraBollier,
-1,BenSalango,
-1,BradshawforTN,
-1,CJSenate2020,
-1,CalforNC,
-1,CaptMarkKelly,SenMarkKelly
-1,ChrisCoons,
-1,CooneyforMT,
-1,CoryBooker,
-1,D_EdwardsLA,
-1,DanFeltesNH,
-1,DaveZuckermanVT,
-1,DougJones,
-1,DrAlGrossAK,
-1,DrWoodyMyers,
-1,EdMarkey,
-1,GaryPeters,
-1,GovernorBullock,
-1,GreenfieldIowa,
-1,GreyBull4WY,
-1,Hickenlooper,SenatorHick
-1,JayInslee,
-1,JeanneShaheen,
-1,JeffMerkley,
-1,JohnCarneyDE,johncarneyforde
-1,LisaBRochester,RepLBR
-1,MBenDavid2020,
-1,MarkWarner,
-1,MikeEspyMS,
-1,POTUS,JoeBiden
-1,PauletteEJordan,
-1,PerkinsforLA,
-1,PeterWelch,
-1,PetersonLawProf,
-1,ReverendWarnock,SenatorWarnock
-1,RoyCooperNC,NC_Governor
-1,SaraGideon,
-1,SenJackReed,
-1,SenatorDurbin,DickDurbin
-1,SenatorLujan,benraylujan
-1,TinaSmithMN,
-1,WenstrupforLA,
-1,WilliamsForMT,
-1,ZachforND,
-1,abbybroyles,
-1,ahlers_dan,
-1,ddrewknight,
-1,edtarverga,
-1,harrisonjaime,
-1,liebermanforga,
-1,mjhegar,
-1,nicolergalloway,
-1,ossoff,
-1,paulajean2020,
-1,shelleyjlenz,
-1.1,HowieHawkins,
-1.1,dbcgreentx,
0,HowieHawkins,
0,Jorgensen4POTUS,
0,naturalguard,
1,AllenRWaters,
1,Armstrong_ND,RepArmstrongND
1,BillCassidy,
1,BillHagertyTN,SenatorHagerty
1,ChrisSununu,GovChrisSununu
1,CorkyForNH,
1,CynthiaMLummis,SenLummis
1,DanForestNC,
1,DonYoungAK,
1,DougBurgum,DougForDakota
1,DustyJohnson,RepDustyJohnson
1,ElectMarkCurran,
1,GovHolcomb,HolcombForIN
1,GovParsonMO,mikeparson
1,GovPhilScott,
1,GregForMontana,GovGianforte
1,JimJusticeWV,WVGovernor
1,JohnCornyn,
1,JohnJamesMI,
1,LeaderMcConnell,
1,LewisForMN,
1,LindseyGrahamSC,
1,LorenCulp,
1,MarkRonchettiNM,
1,MarthaMcSally,MarthaMcSallyAZ
1,MattForMontana,RepRosendale
1,Perduesenate,sendavidperdue
1,PerkinsForUSSen,
1,RealDonaldTrump,
1,RepDougCollins,
1,RepLizCheney,Liz_Cheney
1,Risch4Idaho,SenatorRisch
1,RogerMarshallMD,
1,SenCapito,CapitoforWV
1,SenCoryGardner,CoryGardner
1,SenDanSullivan,DanSullivan_AK
1,SenHydeSmith,cindyhydesmith
1,SenSasse,BenSasse
1,SenThomTillis,
1,SenTomCotton,TomCottonAR
1,SenTuberville,TTuberville
1,SenatorCollins,
1,SenatorLoeffler,KLoeffler
1,SenatorRounds,RoundsforSenate
1,SpencerJCox,GovCox
1,SteveDaines,
1,gadeforvirginia,
1,goMurph2020,
1,inhofeforsenate,JimInhofe
1,joniernst,SenJoniErnst
1,kocforsenate,
1,murrayforgov,
1,rikmehta_nj,
1.1,DarrylWPerry,
1.1,DoaneRaymon,
1.1,ErikaKolenich,
1.1,JBuckley2020,
1.1,Jorgensen4POTUS,
1.1,Lyman_Bishop,
1.1,McKennon2020,
1.1,ODonnell4NH,
1.1,RainwaterForIN,
1.1,RickDHarrington,
1.1,RickStewart,
1.1,ShaneTHazel,
1.1,ShannonBrayNC,
1.1,Steve4Gov,realStevenD_II
1.1,barron_ky,
1.1,duwayneh57,
1.1,gsiadek,
1.1,justdannymalouf,
1.1,nadine4delaware,
1.1,rik_combs,
1.1,voteslowinski,
1.2,HayesforNC,
-1.2,HowieHawkins,
